folder                       dim  degree  refinements  shy  smoothing  threshold  gmg_iterations  gmg_solve_time  smoother_sweep_time  amg_iterations  amg_solve_time
2D_p1_ref2_shy1_smo1_th0.25  2    1       2            1    1          0.25       8               0.00144876      9.9558               1               0.000253725   
2D_p1_ref2_shy1_smo1_th0.5   2    1       2            1    1          0.5        8               0.00139941      9.0968               2               0.000271654   
2D_p1_ref2_shy1_smo1_th0.75  2    1       2            1    1          0.75       8               0.00132147      9.0528               2               0.000301874   
2D_p1_ref2_shy1_smo1_th1.    2    1       2            1    1          1.         6               0.00103621      8.9388               2               0.000284354   
2D_p1_ref2_shy1_smo2_th0.25  2    1       2            1    2          0.25       8               0.00167701      0.000103868          1               0.000271955   
2D_p1_ref2_shy1_smo2_th0.5   2    1       2            1    2          0.5        8               0.00161767      9.8638               2               0.000290254   
2D_p1_ref2_shy1_smo2_th0.75  2    1       2            1    2          0.75       7               0.00141588      0.000107508          2               0.000301974   
2D_p1_ref2_shy1_smo2_th1.    2    1       2            1    2          1.         5               0.00105712      9.4078               2               0.000309844   
2D_p1_ref2_shy1_smo3_th0.25  2    1       2            1    3          0.25       8               0.00206959      0.000130878          1               0.000280944   
2D_p1_ref2_shy1_smo3_th0.5   2    1       2            1    3          0.5        8               0.00184393      0.000121677          2               0.000301834   
2D_p1_ref2_shy1_smo3_th0.75  2    1       2            1    3          0.75       7               0.0015632       0.000107438          2               0.000298344   
2D_p1_ref2_shy1_smo3_th1.    2    1       2            1    3          1.         5               0.00121935      0.000106238          2               0.000304254   
2D_p1_ref2_shy2_smo1_th0.25  2    1       2            2    1          0.25       8               0.001376        9.4948               1               0.000267845   
2D_p1_ref2_shy2_smo1_th0.5   2    1       2            2    1          0.5        8               0.00129499      9.9868               2               0.000283925   
2D_p1_ref2_shy2_smo1_th0.75  2    1       2            2    1          0.75       8               0.00126585      8.2608               2               0.000279824   
2D_p1_ref2_shy2_smo1_th1.    2    1       2            2    1          1.         6               0.00098486      9.1958               2               0.000309334   
2D_p1_ref2_shy2_smo2_th0.25  2    1       2            2    2          0.25       8               0.00161154      9.7378               1               0.000247706   
2D_p1_ref2_shy2_smo2_th0.5   2    1       2            2    2          0.5        8               0.00153245      9.6658               2               0.000285954   
2D_p1_ref2_shy2_smo2_th0.75  2    1       2            2    2          0.75       7               0.00134811      0.000103108          2               0.000300354   
2D_p1_ref2_shy2_smo2_th1.    2    1       2            2    2          1.         5               0.00103926      9.4248               2               0.000291514   
2D_p1_ref2_shy2_smo3_th0.25  2    1       2            2    3          0.25       8               0.00187477      0.000112768          1               0.000262935   
2D_p1_ref2_shy2_smo3_th0.5   2    1       2            2    3          0.5        8               0.00179495      0.000109428          2               0.000294355   
2D_p1_ref2_shy2_smo3_th0.75  2    1       2            2    3          0.75       7               0.00152845      0.000104938          2               0.000304144   
2D_p1_ref2_shy2_smo3_th1.    2    1       2            2    3          1.         5               0.00115151      0.000102648          2               0.000314174   
2D_p1_ref2_shy3_smo1_th0.25  2    1       2            3    1          0.25       8               0.00127946      8.8668               1               0.000268055   
2D_p1_ref2_shy3_smo1_th0.5   2    1       2            3    1          0.5        8               0.0012058       8.7679               2               0.000311964   
2D_p1_ref2_shy3_smo1_th0.75  2    1       2            3    1          0.75       8               0.00115624      8.1299               2               0.000305904   
