folder                dim  degree  refinements  shy  smoothing  threshold  gmg_iterations  gmg_solve_time  smoother_sweep_time  amg_iterations  amg_solve_time
2D_p1_ref4_shy3       2    1       4            3                                                                                                             
2D_p1_ref4_shy3_smo1  2    1       4            3    1                                                                                                        
2D_p1_ref4_shy3_smo2  2    1       4            3    2                                                                                                        
2D_p1_ref4_shy3_smo3  2    1       4            3    3                                                                                                        
2D_p1_ref5_shy3       2    1       5            3                                                                                                             
2D_p1_ref5_shy3_smo1  2    1       5            3    1                                                                                                        
2D_p1_ref5_shy3_smo2  2    1       5            3    2                                                                                                        
2D_p1_ref5_shy3_smo3  2    1       5            3    3                                                                                                        
2D_p1_ref6_shy3       2    1       6            3                                                                                                             
2D_p1_ref6_shy3_smo1  2    1       6            3    1                                                                                                        
2D_p1_ref6_shy3_smo2  2    1       6            3    2                                                                                                        
2D_p1_ref6_shy3_smo3  2    1       6            3    3                                                                                                        
2D_p1_ref7_shy3       2    1       7            3                                                                                                             
2D_p1_ref7_shy3_smo1  2    1       7            3    1                                                                                                        
2D_p1_ref7_shy3_smo2  2    1       7            3    2                                                                                                        
2D_p1_ref7_shy3_smo3  2    1       7            3    3                                                                                                        
2D_p1_ref8_shy3       2    1       8            3                                                                                                             
2D_p1_ref8_shy3_smo1  2    1       8            3    1                                                                                                        
2D_p1_ref8_shy3_smo2  2    1       8            3    2                                                                                                        
2D_p1_ref8_shy3_smo3  2    1       8            3    3                                                                                                        
2D_p1_ref9_shy3       2    1       9            3                                                                                                             
2D_p1_ref9_shy3_smo1  2    1       9            3    1                                                                                                        
2D_p1_ref9_shy3_smo2  2    1       9            3    2                                                                                                        
2D_p1_ref9_shy3_smo3  2    1       9            3    3                                                                                                        
2D_p2_ref4_shy3_smo1  2    2       4            3    1                                                                                                        
2D_p2_ref4_shy3_smo2  2    2       4            3    2                                                                                                        
2D_p2_ref4_shy3_smo3  2    2       4            3    3                                                                                                        
2D_p2_ref5_shy3_smo1  2    2       5            3    1                                                                                                        
2D_p2_ref5_shy3_smo2  2    2       5            3    2                                                                                                        
2D_p2_ref5_shy3_smo3  2    2       5            3    3                                                                                                        
2D_p2_ref6_shy3_smo1  2    2       6            3    1                                                                                                        
2D_p2_ref6_shy3_smo2  2    2       6            3    2                                                                                                        
2D_p2_ref6_shy3_smo3  2    2       6            3    3                                                                                                        
2D_p2_ref7_shy3_smo1  2    2       7            3    1                                                                                                        
2D_p2_ref7_shy3_smo2  2    2       7            3    2                                                                                                        
2D_p2_ref7_shy3_smo3  2    2       7            3    3                                                                                                        
2D_p2_ref8_shy3_smo1  2    2       8            3    1                                                                                                        
2D_p2_ref8_shy3_smo2  2    2       8            3    2                                                                                                        
2D_p2_ref8_shy3_smo3  2    2       8            3    3                                                                                                        
2D_p2_ref9_shy3_smo1  2    2       9            3    1                                                                                                        
2D_p2_ref9_shy3_smo2  2    2       9            3    2                                                                                                        
2D_p2_ref9_shy3_smo3  2    2       9            3    3                                                                                                        
2D_p3_ref4_shy3_smo1  2    3       4            3    1                                                                                                        
2D_p3_ref4_shy3_smo2  2    3       4            3    2                                                                                                        
2D_p3_ref4_shy3_smo3  2    3       4            3    3                                                                                                        
2D_p3_ref5_shy3_smo1  2    3       5            3    1                                                                                                        
2D_p3_ref5_shy3_smo2  2    3       5            3    2                                                                                                        
2D_p3_ref5_shy3_smo3  2    3       5            3    3                                                                                                        
2D_p3_ref6_shy3_smo1  2    3       6            3    1                                                                                                        
2D_p3_ref6_shy3_smo2  2    3       6            3    2                                                                                                        
2D_p3_ref6_shy3_smo3  2    3       6            3    3                                                                                                        
2D_p3_ref7_shy3_smo1  2    3       7            3    1                                                                                                        
2D_p3_ref7_shy3_smo2  2    3       7            3    2                                                                                                        
2D_p3_ref7_shy3_smo3  2    3       7            3    3                                                                                                        
2D_p3_ref8_shy3_smo1  2    3       8            3    1                                                                                                        
2D_p3_ref8_shy3_smo2  2    3       8            3    2                                                                                                        
2D_p3_ref8_shy3_smo3  2    3       8            3    3                                                                                                        
2D_p3_ref9_shy3_smo1  2    3       9            3    1                                                                                                        
2D_p3_ref9_shy3_smo2  2    3       9            3    2                                                                                                        
2D_p3_ref9_shy3_smo3  2    3       9            3    3                                                                                                        
2D_p4_ref4_shy3_smo1  2    4       4            3    1                                                                                                        
2D_p4_ref4_shy3_smo2  2    4       4            3    2                                                                                                        
2D_p4_ref4_shy3_smo3  2    4       4            3    3                                                                                                        
2D_p4_ref5_shy3_smo1  2    4       5            3    1                                                                                                        
2D_p4_ref5_shy3_smo2  2    4       5            3    2                                                                                                        
2D_p4_ref5_shy3_smo3  2    4       5            3    3                                                                                                        
2D_p4_ref6_shy3_smo1  2    4       6            3    1                                                                                                        
2D_p4_ref6_shy3_smo2  2    4       6            3    2                                                                                                        
2D_p4_ref6_shy3_smo3  2    4       6            3    3                                                                                                        
