p,refinements,shyness,smoothing,threshold,cells,dofs,gmg_its,gmg_time,sweep_time,amg_its,amg_time
1,4,3,3,,4096,4225,,,,,
1,4,3,1,,4096,4225,,,,,
1,4,3,2,,4096,4225,,,,,
1,4,3,3,,4096,4225,,,,,
1,5,3,3,,16384,16641,,,,,
1,5,3,1,,16384,16641,,,,,
1,5,3,2,,16384,16641,,,,,
1,5,3,3,,16384,16641,,,,,
1,6,3,3,,65536,66049,,,,,
1,6,3,1,,65536,66049,,,,,
1,6,3,2,,65536,66049,,,,,
1,6,3,3,,65536,66049,,,,,
1,7,3,3,,262144,263169,,,,,
1,7,3,1,,262144,263169,,,,,
1,7,3,2,,262144,263169,,,,,
1,7,3,3,,262144,263169,,,,,
1,8,3,3,,1048576,1050625,,,,,
1,8,3,1,,1048576,1050625,,,,,
1,8,3,2,,1048576,1050625,,,,,
1,8,3,3,,1048576,1050625,,,,,
1,9,3,3,,4194304,4198401,,,,,
1,9,3,1,,4194304,4198401,,,,,
1,9,3,2,,4194304,4198401,,,,,
1,9,3,3,,4194304,4198401,,,,,
2,4,3,1,,4096,16641,,,,,
2,4,3,2,,4096,16641,,,,,
2,4,3,3,,4096,16641,,,,,
2,5,3,1,,16384,66049,,,,,
2,5,3,2,,16384,66049,,,,,
2,5,3,3,,16384,66049,,,,,
2,6,3,1,,65536,263169,,,,,
2,6,3,2,,65536,263169,,,,,
2,6,3,3,,65536,263169,,,,,
2,7,3,1,,262144,1050625,,,,,
2,7,3,2,,262144,1050625,,,,,
2,7,3,3,,262144,1050625,,,,,
2,8,3,1,,1048576,4198401,,,,,
2,8,3,2,,1048576,4198401,,,,,
2,8,3,3,,1048576,4198401,,,,,
2,9,3,1,,4194304,16785409,,,,,
2,9,3,2,,4194304,16785409,,,,,
2,9,3,3,,4194304,16785409,,,,,
3,4,3,1,,4096,37249,,,,,
3,4,3,2,,4096,37249,,,,,
3,4,3,3,,4096,37249,,,,,
3,5,3,1,,16384,148225,,,,,
3,5,3,2,,16384,148225,,,,,
3,5,3,3,,16384,148225,,,,,
3,6,3,1,,65536,591361,,,,,
3,6,3,2,,65536,591361,,,,,
3,6,3,3,,65536,591361,,,,,
3,7,3,1,,262144,2362369,,,,,
3,7,3,2,,262144,2362369,,,,,
3,7,3,3,,262144,2362369,,,,,
3,8,3,1,,1048576,9443329,,,,,
3,8,3,2,,1048576,9443329,,,,,
3,8,3,3,,1048576,9443329,,,,,
3,9,3,1,,4194304,37761025,,,,,
3,9,3,2,,4194304,37761025,,,,,
3,9,3,3,,4194304,37761025,,,,,
4,4,3,1,,4096,66049,,,,,
4,4,3,2,,4096,66049,,,,,
4,4,3,3,,4096,66049,,,,,
4,5,3,1,,16384,263169,,,,,
4,5,3,2,,16384,263169,,,,,
4,5,3,3,,16384,263169,,,,,
4,6,3,1,,65536,1050625,,,,,
4,6,3,2,,65536,1050625,,,,,
4,6,3,3,,65536,1050625,,,,,
