p,refinements,shyness,smoothing,threshold,cells,dofs,gmg_its,gmg_time,sweep_time,amg_its,amg_time
1,2,1,1,0.25,256,289,8,0.00144876,9.9558e-05,1,0.000253725
1,2,1,1,0.5,256,289,8,0.00139941,9.0968e-05,2,0.000271654
1,2,1,1,0.75,256,289,8,0.00132147,9.0528e-05,2,0.000301874
1,2,1,1,1.,256,289,6,0.00103621,8.9388e-05,2,0.000284354
1,2,1,2,0.25,256,289,8,0.00167701,0.000103868,1,0.000271955
1,2,1,2,0.5,256,289,8,0.00161767,9.8638e-05,2,0.000290254
1,2,1,2,0.75,256,289,7,0.00141588,0.000107508,2,0.000301974
1,2,1,2,1.,256,289,5,0.00105712,9.4078e-05,2,0.000309844
1,2,1,3,0.25,256,289,8,0.00206959,0.000130878,1,0.000280944
1,2,1,3,0.5,256,289,8,0.00184393,0.000121677,2,0.000301834
1,2,1,3,0.75,256,289,7,0.0015632,0.000107438,2,0.000298344
1,2,1,3,1.,256,289,5,0.00121935,0.000106238,2,0.000304254
1,2,2,1,0.25,256,289,8,0.001376,9.4948e-05,1,0.000267845
1,2,2,1,0.5,256,289,8,0.00129499,9.9868e-05,2,0.000283925
1,2,2,1,0.75,256,289,8,0.00126585,8.2608e-05,2,0.000279824
1,2,2,1,1.,256,289,6,0.00098486,9.1958e-05,2,0.000309334
1,2,2,2,0.25,256,289,8,0.00161154,9.7378e-05,1,0.000247706
1,2,2,2,0.5,256,289,8,0.00153245,9.6658e-05,2,0.000285954
1,2,2,2,0.75,256,289,7,0.00134811,0.000103108,2,0.000300354
1,2,2,2,1.,256,289,5,0.00103926,9.4248e-05,2,0.000291514
1,2,2,3,0.25,256,289,8,0.00187477,0.000112768,1,0.000262935
1,2,2,3,0.5,256,289,8,0.00179495,0.000109428,2,0.000294355
1,2,2,3,0.75,256,289,7,0.00152845,0.000104938,2,0.000304144
1,2,2,3,1.,256,289,5,0.00115151,0.000102648,2,0.000314174
1,2,3,1,0.25,256,289,8,0.00127946,8.8668e-05,1,0.000268055
1,2,3,1,0.5,256,289,8,0.0012058,8.7679e-05,2,0.000311964
1,2,3,1,0.75,256,289,8,0.00115624,8.1299e-05,2,0.000305904
1,2,3,1,1.,256,289,6,0.000933241,8.7338e-05,2,0.000293955
1,2,3,2,0.25,256,289,8,0.00147353,9.1688e-05,1,0.000237815
1,2,3,2,0.5,256,289,8,0.00139147,0.000101628,2,0.000302094
1,2,3,2,0.75,256,289,7,0.00118001,9.7808e-05,2,0.000316914
1,2,3,2,1.,256,289,6,0.00105105,8.6988e-05,2,0.000284834
1,2,3,3,0.25,256,289,8,0.00167389,9.9028e-05,1,0.000244096
1,2,3,3,0.5,256,289,8,0.0015515,9.9898e-05,2,0.000290565
1,2,3,3,0.75,256,289,7,0.00131502,9.3498e-05,2,0.000301145
1,2,3,3,1.,256,289,5,0.00102088,9.8358e-05,2,0.000286724
1,3,1,1,0.25,1024,1089,10,0.0046484,0.000197866,2,0.000605608
1,3,1,1,0.5,1024,1089,10,0.00455421,0.000186716,2,0.000630658
1,3,1,1,0.75,1024,1089,10,0.00439085,0.000196756,1,0.000484251
1,3,1,1,1.,1024,1089,8,0.00350017,0.000183496,2,0.000621328
1,3,1,2,0.25,1024,1089,9,0.00497518,0.000210506,2,0.000600358
1,3,1,2,0.5,1024,1089,9,0.00479178,0.000218725,2,0.000616258
1,3,1,2,0.75,1024,1089,9,0.00470232,0.000206626,1,0.000476131
1,3,1,2,1.,1024,1089,7,0.00363717,0.000205136,2,0.000630938
1,3,1,3,0.25,1024,1089,9,0.00568178,0.000238006,2,0.000614428
1,3,1,3,0.5,1024,1089,9,0.00539911,0.000232096,2,0.000609548
1,3,1,3,0.75,1024,1089,9,0.0052707,0.000233555,1,0.000476241
1,3,1,3,1.,1024,1089,6,0.00370145,0.000232816,2,0.000638488
1,3,2,1,0.25,1024,1089,10,0.00446886,0.000182656,2,0.000608038
1,3,2,1,0.5,1024,1089,10,0.0043525,0.000194186,2,0.000628037
1,3,2,1,0.75,1024,1089,10,0.00426437,0.000178877,1,0.000476141
1,3,2,1,1.,1024,1089,8,0.0033408,0.000188767,2,0.000632568
1,3,2,2,0.25,1024,1089,9,0.0047519,0.000210586,2,0.000625128
1,3,2,2,0.5,1024,1089,9,0.00457532,0.000205886,2,0.000620978
1,3,2,2,0.75,1024,1089,9,0.00451601,0.000202886,1,0.000466441
1,3,2,2,1.,1024,1089,7,0.00355367,0.000197286,2,0.000617568
1,3,2,3,0.25,1024,1089,9,0.00525701,0.000226445,2,0.000616127
1,3,2,3,0.5,1024,1089,9,0.00518897,0.000223796,2,0.000600978
1,3,2,3,0.75,1024,1089,9,0.00514482,0.000231426,1,0.00047638
1,3,2,3,1.,1024,1089,6,0.0035218,0.000217626,2,0.000619628
1,3,3,1,0.25,1024,1089,10,0.00419983,0.000193796,2,0.000599738
1,3,3,1,0.5,1024,1089,10,0.00411423,0.000174347,2,0.000616817
1,3,3,1,0.75,1024,1089,10,0.0039337,0.000187847,1,0.00050117
1,3,3,1,1.,1024,1089,8,0.0031808,0.000173366,2,0.000626148
1,3,3,2,0.25,1024,1089,9,0.00439372,0.000197166,2,0.000621618
1,3,3,2,0.5,1024,1089,9,0.00430582,0.000208185,2,0.000622057
1,3,3,2,0.75,1024,1089,9,0.00411185,0.000205646,1,0.000477781
1,3,3,2,1.,1024,1089,7,0.00323616,0.000191906,2,0.000631778
1,3,3,3,0.25,1024,1089,9,0.00488391,0.000213996,2,0.000607728
1,3,3,3,0.5,1024,1089,9,0.00478493,0.000211056,2,0.000612268
1,3,3,3,0.75,1024,1089,9,0.00450513,0.000202436,1,0.000488141
1,3,3,3,1.,1024,1089,6,0.00316342,0.000200356,2,0.000625068
1,4,1,1,0.25,4096,4225,11,0.0170123,0.000598848,12,0.00290675
