p,refinements,amg_its,gmg_its
1,2,2,5
1,2,2,5
1,2,2,5
1,3,2,6
1,3,2,6
1,3,2,6
1,4,12,7
1,4,12,7
1,4,12,7
1,5,13,8
1,5,13,8
1,5,13,8
1,7,15,10
1,7,15,10
1,7,15,10
1,8,17,11
1,8,17,11
1,8,17,11
1,9,17,12
1,9,17,12
1,9,17,12
2,2,,4
2,2,,4
2,2,,4
2,3,,6
2,3,,6
2,3,,6
2,4,,7
2,4,,7
2,4,,7
2,5,,7
2,5,,7
2,5,,7
2,7,,9
2,7,,9
2,7,,9
2,8,,10
2,8,,10
2,8,,11
2,9,,12
2,9,,12
2,9,,12
3,2,,5
3,2,,5
3,2,,6
3,3,,7
3,3,,7
3,3,,7
3,4,,8
3,4,,8
3,4,,8
3,5,,9
3,5,,9
3,5,,9
3,7,,13
3,7,,13
3,7,,13
3,8,,15
3,8,,15
3,8,,16
