p,refinements,shyness,smoothing,cells,dofs,iterations
1,2,3,1,4096,4913,10
1,2,3,2,4096,4913,8
1,2,3,3,4096,4913,8
1,2,4,1,4096,4913,10
1,2,4,2,4096,4913,8
1,2,4,3,4096,4913,8
1,2,5,1,4096,4913,16
1,2,5,2,4096,4913,15
1,2,5,3,4096,4913,15
1,3,3,1,32768,35937,11
1,3,3,2,32768,35937,9
1,3,3,3,32768,35937,8
1,3,4,1,32768,35937,11
1,3,4,2,32768,35937,9
1,3,4,3,32768,35937,8
1,3,5,1,32768,35937,55
1,3,5,2,32768,35937,55
1,3,5,3,32768,35937,52
1,4,3,1,262144,274625,13
1,4,3,2,262144,274625,11
1,4,3,3,262144,274625,10
1,4,4,1,262144,274625,13
1,4,4,2,262144,274625,11
1,4,4,3,262144,274625,10
1,4,5,1,262144,274625,100
1,4,5,2,262144,274625,100
1,4,5,3,262144,274625,100
1,5,3,1,2097152,2146689,15
1,5,3,2,2097152,2146689,12
1,5,3,3,2097152,2146689,11
1,5,4,1,2097152,2146689,15
1,5,4,2,2097152,2146689,12
1,5,4,3,2097152,2146689,11
1,5,5,1,2097152,2146689,100
1,5,5,2,2097152,2146689,100
1,5,5,3,2097152,2146689,100
2,2,3,1,4096,35937,9
2,2,3,2,4096,35937,7
2,2,3,3,4096,35937,7
2,2,4,1,4096,35937,9
2,2,4,2,4096,35937,7
2,2,4,3,4096,35937,7
2,2,5,1,4096,35937,19
2,2,5,2,4096,35937,15
2,2,5,3,4096,35937,13
2,3,3,1,32768,274625,12
2,3,3,2,32768,274625,9
2,3,3,3,32768,274625,8
2,3,4,1,32768,274625,12
2,3,4,2,32768,274625,9
2,3,4,3,32768,274625,8
2,3,5,1,32768,274625,100
2,3,5,2,32768,274625,100
2,3,5,3,32768,274625,100
2,4,3,1,262144,2146689,15
2,4,3,2,262144,2146689,10
2,4,3,3,262144,2146689,9
2,4,4,1,262144,2146689,16
2,4,4,2,262144,2146689,10
2,4,4,3,262144,2146689,9
2,4,5,1,262144,2146689,100
2,4,5,2,262144,2146689,100
2,4,5,3,262144,2146689,100
2,5,3,1,2097152,16974593,18
2,5,3,2,2097152,16974593,12
2,5,3,3,2097152,16974593,10
2,5,4,1,2097152,16974593,19
2,5,4,2,2097152,16974593,12
2,5,4,3,2097152,16974593,10
2,5,5,1,2097152,16974593,100
2,5,5,2,2097152,16974593,100
2,5,5,3,2097152,16974593,100
3,2,3,1,4096,117649,12
3,2,3,2,4096,117649,8
3,2,3,3,4096,117649,8
3,2,4,1,4096,117649,12
3,2,4,2,4096,117649,8
3,2,4,3,4096,117649,7
3,2,5,1,4096,117649,29
3,2,5,2,4096,117649,21
3,2,5,3,4096,117649,18
3,3,3,1,32768,912673,18
3,3,3,2,32768,912673,12
3,3,3,3,32768,912673,10
3,3,4,1,32768,912673,20
3,3,4,2,32768,912673,12
3,3,4,3,32768,912673,9
3,3,5,1,32768,912673,100
3,3,5,2,32768,912673,72
3,3,5,3,32768,912673,59
3,4,3,1,262144,7189057,28
3,4,3,2,262144,7189057,15
3,4,3,3,262144,7189057,11
3,4,4,1,262144,7189057,28
3,4,4,2,262144,7189057,15
3,4,4,3,262144,7189057,11
3,4,5,1,262144,7189057,100
3,4,5,2,262144,7189057,100
3,4,5,3,262144,7189057,100
3,5,3,1,2097152,57066625,
