p,refinements,shyness,smoothing,threshold,cells,dofs,gmg_its,gmg_time,sweep_time,amg_its,amg_time
1,2,3,1,0.0,256,289,2,0.000280284,8.0008e-05,2,0.000279914
1,2,3,2,0.0,256,289,2,0.000271755,7.9579e-05,2,0.000286784
1,2,3,3,0.0,256,289,2,0.000279895,8.8149e-05,2,0.000298834
1,3,3,1,0.0,1024,1089,2,0.000672906,0.000165537,2,0.000601378
1,3,3,2,0.0,1024,1089,2,0.000644807,0.000178076,2,0.000610658
1,3,3,3,0.0,1024,1089,2,0.000664577,0.000193697,2,0.000612578
1,4,3,1,0.0,4096,4225,1,0.00154047,0.00052622,12,0.00284817
1,4,3,2,0.0,4096,4225,1,0.00160864,0.000571749,12,0.00288072
1,4,3,3,0.0,4096,4225,1,0.00157804,0.000593998,12,0.00286632
1,5,3,1,0.0,16384,16641,2,0.0100891,0.00304688,13,0.0120156
1,5,3,2,0.0,16384,16641,2,0.0100566,0.00339084,13,0.0120128
1,5,3,3,0.0,16384,16641,2,0.00974382,0.00350265,13,0.0120586
1,6,3,1,0.0,65536,66049,2,0.0846579,0.0157775,14,0.0550637
1,6,3,2,0.0,65536,66049,2,0.0855175,0.0162954,14,0.0552022
1,6,3,3,0.0,65536,66049,2,0.0860865,0.0166302,14,0.055744
1,7,3,1,0.0,262144,263169,1,0.282679,0.0814668,15,0.331743
1,7,3,2,0.0,262144,263169,1,0.283779,0.0823777,15,0.337942
1,7,3,3,0.0,262144,263169,1,0.282794,0.0796139,15,0.335248
1,8,3,1,0.0,1048576,1050625,1,1.45753,0.314022,17,1.67817
1,8,3,2,0.0,1048576,1050625,1,1.45264,0.31627,17,1.6834
1,8,3,3,0.0,1048576,1050625,1,1.45355,0.315292,17,1.66225
2,2,3,1,0.0,256,1089,5,0.00164011,0.000140067,,
2,2,3,2,0.0,256,1089,4,0.00155499,0.000157887,,
2,2,3,3,0.0,256,1089,4,0.0017599,0.000176367,,
2,3,3,1,0.0,1024,4225,5,0.00580346,0.000445791,,
2,3,3,2,0.0,1024,4225,4,0.00528203,0.00051179,,
2,3,3,3,0.0,1024,4225,4,0.00582023,0.000568198,,
2,4,3,1,0.0,4096,16641,5,0.0302192,0.0022179,,
2,4,3,2,0.0,4096,16641,4,0.0279681,0.00248806,,
2,4,3,3,0.0,4096,16641,4,0.0298759,0.00274064,,
2,5,3,1,0.0,16384,66049,5,0.158992,0.0108167,,
2,5,3,2,0.0,16384,66049,4,0.134743,0.0111695,,
2,5,3,3,0.0,16384,66049,4,0.142129,0.0116933,,
2,6,3,1,0.0,65536,263169,5,0.859929,0.0681112,,
2,6,3,2,0.0,65536,263169,4,0.681487,0.0670249,,
2,6,3,3,0.0,65536,263169,4,0.707213,0.0664052,,
2,7,3,1,0.0,262144,1050625,5,3.75938,0.326209,,
2,7,3,2,0.0,262144,1050625,4,3.21782,0.322206,,
2,7,3,3,0.0,262144,1050625,3,2.59964,0.323489,,
2,8,3,1,0.0,1048576,4198401,4,13.0252,1.22699,,
2,8,3,2,0.0,1048576,4198401,4,13.0694,1.1802,,
2,8,3,3,0.0,1048576,4198401,3,10.5543,1.19076,,
3,2,3,1,0.0,256,2401,5,0.00505762,0.000294624,,
3,2,3,2,0.0,256,2401,5,0.0053914,0.000353303,,
3,2,3,3,0.0,256,2401,4,0.0052062,0.000412071,,
3,3,3,1,0.0,1024,9409,5,0.0221769,0.00150898,,
3,3,3,2,0.0,1024,9409,4,0.0221583,0.00170408,,
3,3,3,3,0.0,1024,9409,4,0.0258258,0.00192486,,
3,4,3,1,0.0,4096,37249,5,0.119204,0.00669896,,
3,4,3,2,0.0,4096,37249,4,0.106604,0.00723633,,
3,4,3,3,0.0,4096,37249,4,0.114219,0.00780406,,
3,5,3,1,0.0,16384,148225,5,0.595815,0.0484876,,
3,5,3,2,0.0,16384,148225,4,0.510717,0.0588431,,
3,5,3,3,0.0,16384,148225,4,0.522981,0.0561705,,
3,6,3,1,0.0,65536,591361,4,2.27226,0.297141,,
3,6,3,2,0.0,65536,591361,4,2.26049,0.301974,,
3,6,3,3,0.0,65536,591361,4,2.30445,0.298113,,
3,7,3,1,0.0,262144,2362369,5,11.0189,1.01385,,
3,7,3,2,0.0,262144,2362369,4,9.26024,1.01792,,
3,7,3,3,0.0,262144,2362369,3,7.55306,1.09381,,
3,8,3,1,0.0,1048576,9443329,4,40.829,5.051,,
3,8,3,2,0.0,1048576,9443329,3,33.2381,5.20346,,
3,8,3,3,0.0,1048576,9443329,3,33.2687,5.1888,,
4,2,3,1,0.0,256,4225,5,0.013084,0.000708096,,
4,2,3,2,0.0,256,4225,4,0.0138881,0.000972691,,
4,2,3,3,0.0,256,4225,4,0.0171286,0.00125727,,
4,3,3,1,0.0,1024,16641,6,0.0832721,0.00366797,,
4,3,3,2,0.0,1024,16641,4,0.0680302,0.00423049,,
4,3,3,3,0.0,1024,16641,4,0.0769623,0.00478465,,
4,4,3,1,0.0,4096,66049,7,0.468017,0.0327836,,
4,4,3,2,0.0,4096,66049,6,0.438964,0.032753,,
4,4,3,3,0.0,4096,66049,5,0.44583,0.0331237,,
4,5,3,1,0.0,16384,263169,6,1.91568,0.189273,,
4,5,3,2,0.0,16384,263169,5,1.68935,0.175299,,
4,5,3,3,0.0,16384,263169,5,1.73336,0.187344,,
4,6,3,1,0.0,65536,1050625,7,8.94512,0.539572,,
4,6,3,2,0.0,65536,1050625,5,6.90124,0.633283,,
4,6,3,3,0.0,65536,1050625,5,7.05662,0.65607,,
4,7,3,1,0.0,262144,4198401,7,36.939,2.90437,,
4,7,3,2,0.0,262144,4198401,6,32.7549,2.90416,,
4,7,3,3,0.0,262144,4198401,5,28.656,2.96702,,
4,8,3,1,0.0,1048576,16785409,7,206.309,15.5198,,
4,8,3,2,0.0,1048576,16785409,6,183.256,15.6058,,
4,8,3,3,0.0,1048576,16785409,5,162.806,14.3236,,
