p, refinements, shyness, smoothing, threshold, cells , dofs   , gmg_its, gmg_time     , sweep_time , amg_its, amg_time
1,           2,       4,         3, 1.       ,   4096,    4913,       1,    0.00421755,  0.00111061,      20, 0.0107762
1,           3,       4,         3, 1.       ,  32768,   35937,       1,    0.0862004 ,  0.0102884 ,      22, 0.100743
1,           4,       4,         3, 1.       , 262144,  274625,       2,    2.09126   ,  0.0888855 ,      24, 1.08611
2,           2,       4,         3, 1.       ,   4096,   35937,       5,    0.181952  ,  0.0128265 ,        ,  
2,           3,       4,         3, 1.       ,  32768,  274625,       6,    2.13698   ,  0.174291  ,        ,  
2,           4,       4,         3, 1.       , 262144, 2146689,       5,   15.6161    ,  1.2579    ,        ,  
3,           2,       4,         3, 1.       ,   4096,  117649,       5,    1.70434   ,  0.259397  ,        ,  
3,           3,       4,         3, 1.       ,  32768,  912673,       5,   12.3765    ,  1.43833   ,        ,  
3,           4,       4,         3, 1.       , 262144, 7189057,       6,  142.982     , 16.8527    ,        ,  
4,           2,       4,         3, 1.       ,   4096,  274625,     100,  129.9       ,  1.48573   ,        ,  
4,           3,       4,         3, 1.       ,  32768, 2146689,     100, 1154.95      , 12.7856    ,        ,  
