p,refinements,ratio
1,2,-0.004007419450869021
1,3,0.1069413841237612
1,4,0.041611639974680426
1,5,0.06735326111157058
1,7,-0.02057048659840699
1,8,-0.0597508690614138
1,9,-0.004211219401787369
2,2,0.1076765844546117
2,3,0.11844475888313721
2,4,0.11614588785372848
2,5,0.04108275893550006
2,7,0.012907323737730847
2,8,-0.0008795582948125658
2,9,0.016033932486227975
3,2,0.18160500853727957
3,3,0.19848828956706877
3,4,0.07910114639342591
3,5,-0.012867233544787804
3,7,0.04122829903404557
3,8,0.005853731597877276
