p,refinements,gmg_throughput,amg_throughput
1,2,283089.0996003448,1007937.9472942621
1,3,344247.6813069399,1742210.4475033116
1,4,354734.97728856537,1469074.674195747
1,5,242371.01510067112,1381683.825971438
1,6,179714.90064513322,1194123.4856278147
1,7,139466.44620741188,847286.8816041107
1,8,119868.26897954667,629829.5675944632
1,9,109498.46252552676,619235.0124926622
2,2,539830.466465077,
2,3,468694.5331913383,
2,4,301524.2002116341,
2,5,266633.02585632686,
2,6,195575.9841261584,
2,7,169322.37206843644,
2,8,138060.78961387448,
2,9,117218.18042151426,
3,2,366855.56952761044,
3,3,249918.3230052884,
3,4,195818.56988150688,
3,5,148115.3946079901,
3,6,121763.1494960518,
3,7,106457.61512705774,
3,8,79144.21126736955,
